puzzle,solution
071400800340060000009057030023000000000080312008312000000004087830070000007820040,271493856345168279689257134123546798456789312798312465512634987834975621967821543
006021974123409560409568023214605709365890241798000350530004697040953802902016005,856321974123479568479568123214635789365897241798142356531284697647953812982716435
842300090130249608670158234203405780407890006968003400321504967094007812786912543,842376195135249678679158234213465789457891326968723451321584967594637812786912543
002000391006040570780130240003006089057090023690007104301504967875003000064002805,542678391136249578789135246213456789457891623698327154321584967875963412964712835
009851006030267009670009125000470090006000073090000010520930007700502901980000000,249851736135267489678349125312475698456198273897623514521934867763582941984716352
410007028205148609600230045103450007047801030890002451001784962700910080984600013,419567328235148679678239145123456897547891236896372451351784962762913584984625713
098002004124307089560400123200005807056700201789123456001250978842900300975030040,398512764124367589567489123213645897456798231789123456631254978842976315975831642
173456098000109367680207045312540000450001803790362050501603984034900016960010530,173456298245189367689237145312548679456791823798362451521673984834925716967814532
100093080340108009689200030203000090456709312708012465500804907002975601904620053,127493586345168279689257134213546798456789312798312465561834927832975641974621853
700928653235146009689357024123065807406709200800210005312094570004832910968071342,741928653235146789689357124123465897456789231897213465312694578574832916968571342
001800739350170008000230056120050800005090012807000060000047980038900570904580621,241865739356179248789234156123456897465798312897312465512647983638921574974583621
000306002100400060069008007200634089046090000700000406407000001651000024080000070,874356192123479568569128347215634789346897215798215436437962851651783924982541673
963500728104378000570200130215036097340807015700100000430600982050982470890700050,963514728124378569578269134215436897346897215789125346437651982651982473892743651
800064030000000008070008005003070809400000020008020000002000090506912080080043006,851764932234159678679238145123475869465891327798326451312687594546912783987543216
041296835030048670689357020020465098457819063090723051300504986560902310908630042,741296835235148679689357124123465798457819263896723451312574986564982317978631542
054260309023000608070138245005340007347891020068070100431785962502614000006023001,854267319123459678679138245215346897347891526968572134431785962592614783786923451
076301508123450079580267034200530007057109206698724315701045902845910760962870451,476391528123458679589267134214536897357189246698724315731645982845912763962873451
602017040145230678789450123013048700006791302807360005021080957570903860068000230,632817549145239678789456123213548796456791382897362415321684957574923861968175234
000060400020050609007109000010536090008001200000000000030905780005002000970800500,589367421123458679467129358214536897358791246796284135631945782845672913972813564
000410560024050709507080100210600007006000205700020306430560078050971020972003001,893417562124356789567289134215634897346798215789125346431562978658971423972843651
010050030000100007500204109020000000056008000009010045002000050070040801800506004,918657432234189567567234189123465798456798213789312645342871956675943821891526374
027549306300168279609237145213006700458790600796082450501024907862970514970010832,127549386345168279689237145213456798458791623796382451531824967862973514974615832
674803920123000578089027340205346789346790150708215063400582690860930215950671830,674853921123469578589127346215346789346798152798215463431582697867934215952671834
006300800000470500789050104204530098307000241608104375000005000005000700000013400,546391827123478569789256134214537698357689241698124375431765982865942713972813456
500061302120570469468000157010356098050890214780120036001782945042915673970040821,597461382123578469468239157214356798356897214789124536631782945842915673975643821
145208739206179058009345026310450890007800200690720514023600070800032640064517300,145268739236179458789345126312456897457891263698723514523684971871932645964517382
050072800234189000009000120000507000005008071000000005300704000500961000970000402,651472839234189567789356124123547698465298371897613245318724956542961783976835412
000040100024050000000100340203060700450000003700000400531090800847000900062870030,385946172124357689679128345213465798456789213798213456531694827847532961962871534
300000000004300070079208100200000000000091300006020000530600290008032651000000803,385417962124369578679258134213546789457891326896723415531684297748932651962175843
