puzzle,solution
307928451100306709089000030010465897456789003798013000031000040840691300005034002,367928451124356789589147236213465897456789123798213564631572948842691375975834612
080035907003409508570008130200340000340090200798012346407001800801020603960783451,684135927123479568579268134215346789346897215798512346437651892851924673962783451
013007009456009300009045026020500097305008210007000000008000702000800900000050000,213687459456129378789345126124536897365798214897214563538961742641872935972453681
007954600134267080060038247312405800456389172798600354020741938840596701970803060,287954613134267589569138247312475896456389172798612354625741938843596721971823465
030400007040170008789000045023000009400390710090000453310800006500963001000700004,631485297245179368789236145123547689456398712897612453312854976574963821968721534
807200603100009570569008020204530089056890040700000356430782005070000802980053000,847215693123469578569378124214536789356897241798124356431782965675941832982653417
356201987124780006000356104210460008060007013897103465531672840042930571978514630,356241987124789356789356124213465798465897213897123465531672849642938571978514632
850126397103409008609058124200634789306890010798205436430901802061782043982503001,854126397123479568679358124215634789346897215798215436437961852561782943982543671
000300090200100508789000030010060780400091300590003400000000973040910602005032001,156384297234179568789256134312465789467891325598723416621548973843917652975632841
200830700056170048089006135023457096460918327897062001500604902642791583970023004,214835769356179248789246135123457896465918327897362451531684972642791583978523614
204906001035000080689030000312058790006070108008600005021790804800061002067804513,274986351135247689689135247312458796456379128798612435521793864843561972967824513
010000500305020609089406023023040896000090030800263010231005904564030080978004300,612379548345128679789456123123547896456891237897263415231785964564932781978614352
810357024000160509507240000023475896450802317098013205341080952600901403982004061,819357624234168579567249138123475896456892317798613245341786952675921483982534761
002001003034250080079008104213000000000089237008623400301094060045030970087000040,862941753134257689579368124213475896456189237798623415321794568645832971987516342
907045108104300570000009204000400800400001006706923405001590602000004900805002040,937245168124368579568179234213456897459781326786923415341597682672814953895632741
027050000100069000000100230010080700400001082000003005002010000005937000901040003,827354619134269578569178234213485796456791382798623145342816957685937421971542863
608530941000069500050078036210300000300807020897014000502041000740083000986020010,678532941123469578459178236214356789365897124897214365532641897741983652986725413
000000230030148079700200146002059000450001390090020400520003000000910053973064000,145796238236148579789235146312459687457681392698327415521873964864912753973564821
097024106103508070468079235214035098359087004786491350631852907070043561945716803,597324186123568479468179235214635798359287614786491352631852947872943561945716823
000501000100400000509230100010340090047090600090157020430085062000000400900604000,684571239123469578579238146215346897347892615896157324431785962768923451952614783
003052007124370500570060003000000089040097000008010000030006070850021000960003850,683152497124379568579468123215634789346897215798215346431586972857921634962743851
068052007204167589009308126000075608450000071007613045620700850740801960000026004,168952437234167589579348126312475698456289371897613245621794853745831962983526714
789106205120578460450239178214357890060891024807002301530604987678913542042005613,789146235123578469456239178214357896365891724897462351531624987678913542942785613
210900000000120679000000103023046790406700000790031456031002084860004510004015300,217963845345128679689457123123546798456789231798231456531672984862394517974815362
304605271105047089670129345013456700456700123789203450001070964802960537907530812,394685271125347689678129345213456798456798123789213456531872964842961537967534812
017240865234508100060179034123456700000897310089312456041605987672981543090004021,917243865234568179568179234123456798456897312789312456341625987672981543895734621
003658729206100348780004106024365897305007200800002060031746082672900430040503070,413658729256179348789234156124365897365897214897412563531746982672981435948523671
615070894200180567080456103000007089050208370807610240340701958500004012071025436,615372894234189567789456123123547689456298371897613245342761958568934712971825436
840003521123058670567020048010300007308297164796004235000782050670901482902540710,849673521123458679567129348214365897358297164796814235431782956675931482982546713
170936542004157689069248130012065790406789203897312450621593004743020965985070301,178936542234157689569248137312465798456789213897312456621593874743821965985674321
490000703123000089678359024210500807300798241789042306030600970842903015067005008,495821763123467589678359124214536897356798241789142356531684972842973615967215438
081950000030167000009040130023005000000380200000010054310506870052734900960021043,481953726235167489679248135123475698546389217798612354314596872852734961967821543
860421759120579368579368124210030097346890205798102030401985072050740081987216003,863421759124579368579368124215634897346897215798152436431985672652743981987216543
032506000140207609609108030203459000400780300098002000300000006000070020980000500,832596147145237689679148235213459768456781392798362451324815976561973824987624513
003006040004300009060140208000030806306892150798610000000700900600903002870200000,983526741124378569567149238215437896346892157798615324432761985651983472879254613
008000046020056000060189035004508690005001020609204051500000000700000803896000002,958327146123456789467189235214538697375691428689274351531862974742915863896743512
607080002120500089458020067214356098065700000700004630531842076006971050002035801,697483512123567489458129367214356798365798124789214635531842976846971253972635841
673148002120309670089267134205436080307091256096570040401605927752914863060723415,673148592124359678589267134215436789347891256896572341431685927752914863968723415
625018490100200500709400003010507680050000301897000045342080900068904702071605034,625318497134279568789456123213547689456892371897163245342781956568934712971625834
074130682103060079568079134010046700006897000789512306432081957691054823857903460,974135682123468579568279134215346798346897215789512346432681957691754823857923461
958127030123056709467009025204508900000691040689274350030740806702865403006013500,958127634123456789467389125214538967375691248689274351531742896792865413846913572
015023090234009068070458003000040870456007230090230400000760085000984000007010640,815623794234179568679458123123546879456897231798231456341762985562984317987315642
