puzzle,solution
705289000124050089609007230203460807457091320890020400060500908042018600078604510,735289164124356789689147235213465897457891326896723451361572948542918673978634512
207103009134509070069078000300006800006800312798012400600780940005031020073620500,287143659134569278569278134312456897456897312798312465621785943845931726973624581
020800005300000000789050000003000097405700382000200510030072009642905000070014206,124837965356129478789456123213548697465791382897263514531672849642985731978314256
805047100024069578670158234203475689406890327098620415341006050067012043980034761,835247196124369578679158234213475689456891327798623415341786952567912843982534761
359706210004059678078024059213465890060890103007213060531670042740901086980542030,359786214124359678678124359213465897465897123897213465531678942742931586986542731
409370600130200409678149230210056098047001026096720054351082940782914060964507812,429375681135268479678149235213456798547891326896723154351682947782914563964537812
000318500100006000450079030210030608060000074009620000030940800602083000900005420,796318542123456789458279136214537698365891274879624315531942867642783951987165423
461005020200179008789046000100057000000001203897000514002564900600900000958700040,461385729235179468789246135123457896546891273897623514312564987674918352958732641
162049000345100069089056134013460708407801326098703050520600000800900000900580613,162349875345178269789256134213465798457891326698723451521634987836917542974582613
007295000240068000089340020100056700400000203096800000001670900800030500970081630,317295846245168379689347125123456798458719263796823451531672984862934517974581632
